item,detection precision %,retrieved,relevant retrieved
BER_0396_005220_005340.rttm,56.95,41.86,23.84
BER_0396_008100_008220.rttm,63.60,23.05,14.66
BER_0396_008820_008940.rttm,76.29,40.75,31.09
BER_0396_010140_010260.rttm,79.40,35.83,28.45
BER_0396_011160_011280.rttm,80.56,28.14,22.67
BER_0396_012900_013020.rttm,80.07,71.39,57.16
BER_0396_013680_013800.rttm,66.85,47.45,31.72
BER_0396_014520_014640.rttm,72.36,75.32,54.50
BER_0396_021840_021960.rttm,100.00,0.00,0.00
BER_0396_022920_023040.rttm,100.00,0.00,0.00
BER_0396_024120_024240.rttm,58.93,30.22,17.81
BER_0396_024840_024960.rttm,71.13,47.55,33.82
BER_0396_033660_033780.rttm,83.17,52.42,43.60
BER_0396_037380_037500.rttm,53.31,79.72,42.50
BER_0396_040500_040620.rttm,37.88,16.71,6.33
BER_1196_002760_002880.rttm,36.50,36.90,13.47
BER_1196_007500_007620.rttm,100.00,0.00,0.00
BER_1196_011160_011280.rttm,55.70,76.14,42.41
BER_1196_013680_013800.rttm,92.04,102.81,94.63
BER_1196_014760_014880.rttm,88.47,66.68,58.99
BER_1196_015660_015780.rttm,86.84,38.22,33.19
BER_1196_016140_016260.rttm,96.66,81.17,78.46
BER_1196_021240_021360.rttm,90.64,34.50,31.27
BER_1196_022560_022680.rttm,85.16,58.44,49.77
BER_1196_023820_023940.rttm,82.45,29.23,24.10
BER_1196_024960_025080.rttm,49.45,43.72,21.62
BER_1196_032880_033000.rttm,12.84,54.59,7.01
BER_1196_033480_033600.rttm,45.82,60.76,27.84
BER_1196_034740_034860.rttm,51.92,45.34,23.54
BER_1196_039000_039120.rttm,44.15,74.34,32.82
BER_1618_003480_003600.rttm,66.88,55.23,36.94
BER_1618_007620_007740.rttm,100.00,0.00,0.00
BER_1618_009000_009120.rttm,100.00,0.00,0.00
BER_1618_013200_013320.rttm,0.00,1.80,0.00
BER_1618_017400_017520.rttm,90.63,60.73,55.04
BER_1618_023520_023640.rttm,0.00,31.23,0.00
BER_1618_023820_023940.rttm,100.00,0.00,0.00
BER_1618_024180_024300.rttm,0.00,33.13,0.00
BER_1618_031620_031740.rttm,79.22,69.34,54.93
BER_1618_041040_041160.rttm,83.54,95.55,79.82
BER_1618_043620_043740.rttm,0.00,60.48,0.00
BER_1618_047700_047820.rttm,100.00,0.00,0.00
BER_1618_050520_050640.rttm,100.00,0.00,0.00
BER_1618_051240_051360.rttm,100.00,0.00,0.00
BER_1618_053820_053940.rttm,100.00,0.00,0.00
BER_1844_002580_002700.rttm,44.00,8.50,3.74
BER_1844_009060_009180.rttm,100.00,0.00,0.00
BER_1844_010560_010680.rttm,100.00,0.00,0.00
BER_1844_012120_012240.rttm,88.55,8.21,7.27
BER_1844_013200_013320.rttm,82.26,27.00,22.21
BER_1844_013740_013860.rttm,92.73,57.67,53.48
BER_1844_018120_018240.rttm,89.81,28.85,25.91
BER_1844_018960_019080.rttm,84.31,31.17,26.28
BER_1844_020340_020460.rttm,68.95,24.41,16.83
BER_1844_028320_028440.rttm,34.01,39.67,13.49
BER_1844_029940_030060.rttm,72.12,30.06,21.68
BER_1844_030660_030780.rttm,25.71,88.69,22.80
BER_1844_031620_031740.rttm,71.52,109.93,78.62
BER_1844_034080_034200.rttm,75.03,63.08,47.33
BER_1844_041880_042000.rttm,82.78,55.29,45.77
BER_2927_012000_012120.rttm,44.84,76.12,34.13
BER_2927_013500_013620.rttm,84.69,82.87,70.18
BER_2927_014160_014280.rttm,87.98,82.09,72.22
BER_2927_019980_020100.rttm,100.00,0.00,0.00
BER_2927_023820_023940.rttm,92.70,77.35,71.70
BER_2927_025080_025200.rttm,75.25,57.29,43.11
BER_2927_026160_026280.rttm,87.72,96.02,84.23
BER_2927_026460_026580.rttm,85.69,85.14,72.96
BER_2927_027180_027300.rttm,86.03,67.55,58.11
BER_2927_030120_030240.rttm,85.72,74.24,63.64
BER_2927_037440_037560.rttm,48.53,7.46,3.62
BER_2927_044340_044460.rttm,32.58,50.34,16.40
BER_2927_053160_053280.rttm,100.00,0.00,0.00
BER_2927_054900_055020.rttm,100.00,0.00,0.00
BER_2927_056400_056520.rttm,100.00,0.00,0.00
BER_3749_004140_004260.rttm,95.67,114.39,109.44
BER_3749_004620_004740.rttm,81.93,80.87,66.26
BER_3749_005520_005640.rttm,88.11,86.96,76.62
BER_3749_007860_007980.rttm,61.28,4.83,2.96
BER_3749_009540_009660.rttm,92.68,27.45,25.44
BER_3749_009720_009840.rttm,100.00,0.00,0.00
BER_3749_011280_011400.rttm,100.00,0.00,0.00
BER_3749_011640_011760.rttm,100.00,0.00,0.00
BER_3749_017640_017760.rttm,77.39,69.21,53.56
BER_3749_019920_020040.rttm,78.27,66.05,51.70
BER_3749_021240_021360.rttm,35.35,120.00,42.42
BER_3749_026400_026520.rttm,65.77,120.00,78.92
BER_3749_028920_029040.rttm,40.36,84.67,34.17
BER_3749_034680_034800.rttm,84.86,98.59,83.66
BER_3749_043560_043680.rttm,89.84,50.87,45.70
BER_3895_003780_003900.rttm,60.00,0.60,0.36
BER_3895_006120_006240.rttm,100.00,0.00,0.00
BER_3895_009300_009420.rttm,48.13,82.51,39.71
BER_3895_012180_012300.rttm,91.41,89.94,82.21
BER_3895_013020_013140.rttm,91.35,81.06,74.05
BER_3895_013440_013560.rttm,93.04,108.91,101.33
BER_3895_014940_015060.rttm,80.32,107.70,86.51
BER_3895_021660_021780.rttm,63.23,98.84,62.50
BER_3895_027120_027240.rttm,73.80,45.03,33.23
BER_3895_030120_030240.rttm,69.05,14.70,10.15
BER_3895_030480_030600.rttm,55.59,44.88,24.95
BER_3895_033060_033180.rttm,7.22,22.84,1.65
BER_3895_037560_037680.rttm,100.00,0.00,0.00
BER_3895_043560_043680.rttm,81.10,87.71,71.13
