item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_011220_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_034740_034800.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031680_031740.rttm,24.25,5.65,0.66,11.68,0.71,12.57
BER_1844_030000_030060.rttm,23.84,16.57,2.45,14.79,1.50,9.05
BER_2927_026160_026220.rttm,0.00,0.00,0.00,,0.00,
BER_3749_004620_004680.rttm,32.05,19.25,3.03,15.74,3.14,16.31
BER_3895_043560_043620.rttm,42.92,6.50,1.48,22.77,1.31,20.15
BER_5750_030480_030540.rttm,0.00,0.00,0.00,,0.00,
BER_6035_030360_030420.rttm,75.07,6.78,1.26,18.58,3.83,56.49
BER_7758_034320_034380.rttm,0.00,0.00,0.00,,0.00,
ROS_0790_014460_014520.rttm,37.55,16.54,1.88,11.37,4.33,26.18
ROS_1299_004320_004380.rttm,100.00,6.54,0.00,0.00,6.54,100.00
ROS_2534_004380_004440.rttm,100.00,4.48,0.00,0.00,4.48,100.00
ROS_3510_004740_004800.rttm,46.18,5.76,1.73,30.03,0.93,16.15
ROS_6026_002100_002160.rttm,35.27,15.00,1.72,11.47,3.57,23.80
ROS_7903_002820_002880.rttm,0.00,0.00,0.00,,0.00,
ROS_8788_009120_009180.rttm,0.00,0.00,0.00,,0.00,
ROS_9051_014760_014820.rttm,0.00,0.00,0.00,,0.00,
ROS_9426_010860_010920.rttm,0.00,0.00,0.00,,0.00,
ROS_9909_010680_010740.rttm,89.76,4.98,0.16,3.21,4.31,86.55
ROW_1156_034560_034620.rttm,0.00,0.00,0.00,,0.00,
ROW_1735_015060_015120.rttm,16.65,11.47,0.81,7.06,1.10,9.59
ROW_1768_016980_017040.rttm,101.96,7.15,3.96,55.38,3.33,46.57
ROW_2745_020220_020280.rttm,0.00,0.00,0.00,,0.00,
ROW_3486_033120_033180.rttm,57.19,2.92,1.37,46.92,0.30,10.27
ROW_7798_019560_019620.rttm,100.00,0.00,0.61,,0.00,
ROW_8357_030300_030360.rttm,0.00,0.00,0.00,,0.00,
ROW_9408_033360_033420.rttm,0.00,0.00,0.00,,0.00,
ROW_9492_028020_028080.rttm,0.00,0.00,0.00,,0.00,
ROW_9801_036900_036960.rttm,100.00,0.00,6.15,,0.00,
SOD_1499_024300_024360.rttm,100.00,0.00,1.42,,0.00,
SOD_3542_006420_006480.rttm,100.00,1.61,0.00,0.00,1.61,100.00
SOD_3634_036120_036180.rttm,0.00,0.00,0.00,,0.00,
SOD_4483_006600_006660.rttm,0.00,0.00,0.00,,0.00,
SOD_4736_013800_013860.rttm,0.00,0.00,0.00,,0.00,
SOD_8445_017640_017700.rttm,0.00,0.00,0.00,,0.00,
SOD_8924_017340_017400.rttm,0.00,0.00,0.00,,0.00,
SOD_9527_020520_020580.rttm,0.00,0.00,0.00,,0.00,
SOD_9854_019440_019500.rttm,0.00,0.00,0.00,,0.00,
SOD_9858_002640_002700.rttm,0.00,0.00,0.00,,0.00,
TSE_0643_020364_020424.rttm,100.00,0.00,7.92,,0.00,
TSE_2109_029116_029176.rttm,0.00,0.00,0.00,,0.00,
TSE_2625_027365_027425.rttm,100.00,0.00,1.27,,0.00,
TSE_3026_005809_005869.rttm,0.00,0.00,0.00,,0.00,
TSE_6216_013922_013982.rttm,49.87,7.78,0.28,3.60,3.60,46.27
TSE_7176_001701_001761.rttm,0.00,0.00,0.00,,0.00,
TSE_7220_030589_030649.rttm,100.00,9.50,0.00,0.00,9.50,100.00
TSE_7326_006918_006978.rttm,0.00,0.00,0.00,,0.00,
TSE_8179_001514_001574.rttm,0.00,0.00,0.00,,0.00,
TSE_8787_025505_025565.rttm,45.91,9.28,1.35,14.55,2.91,31.36
WAR_1130_023040_023100.rttm,385.57,0.97,3.10,319.59,0.64,65.98
WAR_2535_032640_032700.rttm,0.00,0.00,0.00,,0.00,
WAR_3090_047040_047100.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_006660_006720.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_026700_026760.rttm,0.00,0.00,0.00,,0.00,
WAR_5613_044460_044520.rttm,52.63,15.96,3.96,24.81,4.44,27.82
WAR_5959_022920_022980.rttm,147.06,1.70,0.89,52.35,1.61,94.71
WAR_9398_005100_005160.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_056820_056880.rttm,74.67,6.00,0.25,4.17,4.23,70.50
WAR_9755_035340_035400.rttm,24.11,8.71,1.36,15.61,0.74,8.50
TOTAL,61.61,191.10,49.07,25.68,68.66,35.93
