item,detection precision %,retrieved,relevant retrieved
0396_011220_011280.rttm,100.00,0.00,0.00
0643_020364_020424.rttm,0.00,2.94,0.00
0790_014460_014520.rttm,65.91,10.18,6.71
1130_023040_023100.rttm,0.00,9.54,0.00
1156_034560_034620.rttm,66.10,1.18,0.78
1196_034740_034800.rttm,100.00,0.00,0.00
1299_004320_004380.rttm,4.89,29.46,1.44
1499_024300_024360.rttm,53.59,1.53,0.82
1618_031680_031740.rttm,43.68,6.96,3.04
1735_015060_015120.rttm,86.47,5.69,4.92
1768_016980_017040.rttm,72.50,1.60,1.16
1844_030000_030060.rttm,100.00,0.00,0.00
2109_029116_029176.rttm,100.00,0.00,0.00
2534_004380_004440.rttm,31.65,2.97,0.94
2535_032640_032700.rttm,54.31,13.00,7.06
2625_027365_027425.rttm,9.18,1.96,0.18
2745_020220_020280.rttm,0.00,0.18,0.00
2927_026160_026220.rttm,87.35,6.56,5.73
3026_005809_005869.rttm,100.00,0.00,0.00
3090_047040_047100.rttm,2.14,4.20,0.09
3486_033120_033180.rttm,78.45,5.43,4.26
3510_004740_004800.rttm,42.46,1.79,0.76
3528_006660_006720.rttm,100.00,0.00,0.00
3542_006420_006480.rttm,75.61,7.38,5.58
3634_036120_036180.rttm,100.00,0.00,0.00
3749_004620_004680.rttm,80.00,2.30,1.84
3895_043560_043620.rttm,64.59,15.87,10.25
4483_006600_006660.rttm,23.04,1.91,0.44
4736_013800_013860.rttm,0.00,0.01,0.00
4995_026700_026760.rttm,100.00,0.00,0.00
5613_044460_044520.rttm,75.69,3.25,2.46
5750_030480_030540.rttm,100.00,1.27,1.27
5959_022920_022980.rttm,100.00,0.00,0.00
6026_002100_002160.rttm,37.39,9.52,3.56
6035_030360_030420.rttm,0.00,9.16,0.00
6216_013922_013982.rttm,100.00,0.00,0.00
7176_001701_001761.rttm,54.31,5.10,2.77
7220_030589_030649.rttm,50.94,7.44,3.79
7326_006918_006978.rttm,100.00,0.00,0.00
7758_034320_034380.rttm,100.00,0.00,0.00
7798_019560_019620.rttm,28.52,5.33,1.52
7903_002820_002880.rttm,86.14,7.72,6.65
8179_001514_001574.rttm,47.32,2.24,1.06
8357_030300_030360.rttm,100.00,0.00,0.00
8445_017640_017700.rttm,65.20,4.77,3.11
8787_025505_025565.rttm,70.45,5.72,4.03
8788_009120_009180.rttm,46.41,20.75,9.63
8924_017340_017400.rttm,17.72,0.79,0.14
9051_014760_014820.rttm,100.00,0.00,0.00
9398_005100_005160.rttm,100.00,0.00,0.00
9408_033360_033420.rttm,38.35,1.33,0.51
9426_010860_010920.rttm,6.08,7.73,0.47
9427_056820_056880.rttm,34.25,1.46,0.50
9492_028020_028080.rttm,55.24,2.86,1.58
9527_020520_020580.rttm,14.40,13.89,2.00
9755_035340_035400.rttm,0.00,1.70,0.00
9801_036900_036960.rttm,0.00,22.54,0.00
9854_019440_019500.rttm,0.00,0.10,0.00
9858_002640_002700.rttm,100.00,0.00,0.00
9909_010680_010740.rttm,20.31,42.59,8.65
TOTAL,35.40,309.90,109.70
