item,detection recall %,relevant,relevant retrieved
BER_0396_011220_011280.rttm,100.00,0.00,0.00
BER_1196_034740_034800.rttm,100.00,0.00,0.00
BER_1618_031680_031740.rttm,87.43,5.65,4.94
BER_1844_030000_030060.rttm,90.95,16.57,15.07
BER_2927_026160_026220.rttm,100.00,0.00,0.00
BER_3749_004620_004680.rttm,83.69,19.25,16.11
BER_3895_043560_043620.rttm,79.85,6.50,5.19
BER_5750_030480_030540.rttm,100.00,0.00,0.00
BER_6035_030360_030420.rttm,43.51,6.78,2.95
BER_7758_034320_034380.rttm,100.00,0.00,0.00
ROS_0790_014460_014520.rttm,73.82,16.54,12.21
ROS_1299_004320_004380.rttm,0.00,6.54,0.00
ROS_2534_004380_004440.rttm,0.00,4.48,0.00
ROS_3510_004740_004800.rttm,83.85,5.76,4.83
ROS_6026_002100_002160.rttm,76.20,15.00,11.43
ROS_7903_002820_002880.rttm,100.00,0.00,0.00
ROS_8788_009120_009180.rttm,100.00,0.00,0.00
ROS_9051_014760_014820.rttm,100.00,0.00,0.00
ROS_9426_010860_010920.rttm,100.00,0.00,0.00
ROS_9909_010680_010740.rttm,13.45,4.98,0.67
ROW_1156_034560_034620.rttm,100.00,0.00,0.00
ROW_1735_015060_015120.rttm,90.41,11.47,10.37
ROW_1768_016980_017040.rttm,53.43,7.15,3.82
ROW_2745_020220_020280.rttm,100.00,0.00,0.00
ROW_3486_033120_033180.rttm,89.73,2.92,2.62
ROW_7798_019560_019620.rttm,100.00,0.00,0.00
ROW_8357_030300_030360.rttm,100.00,0.00,0.00
ROW_9408_033360_033420.rttm,100.00,0.00,0.00
ROW_9492_028020_028080.rttm,100.00,0.00,0.00
ROW_9801_036900_036960.rttm,100.00,0.00,0.00
SOD_1499_024300_024360.rttm,100.00,0.00,0.00
SOD_3542_006420_006480.rttm,0.00,1.61,0.00
SOD_3634_036120_036180.rttm,100.00,0.00,0.00
SOD_4483_006600_006660.rttm,100.00,0.00,0.00
SOD_4736_013800_013860.rttm,100.00,0.00,0.00
SOD_8445_017640_017700.rttm,100.00,0.00,0.00
SOD_8924_017340_017400.rttm,100.00,0.00,0.00
SOD_9527_020520_020580.rttm,100.00,0.00,0.00
SOD_9854_019440_019500.rttm,100.00,0.00,0.00
SOD_9858_002640_002700.rttm,100.00,0.00,0.00
TSE_0643_020364_020424.rttm,100.00,0.00,0.00
TSE_2109_029116_029176.rttm,100.00,0.00,0.00
TSE_2625_027365_027425.rttm,100.00,0.00,0.00
TSE_3026_005809_005869.rttm,100.00,0.00,0.00
TSE_6216_013922_013982.rttm,53.73,7.78,4.18
TSE_7176_001701_001761.rttm,100.00,0.00,0.00
TSE_7220_030589_030649.rttm,0.00,9.50,0.00
TSE_7326_006918_006978.rttm,100.00,0.00,0.00
TSE_8179_001514_001574.rttm,100.00,0.00,0.00
TSE_8787_025505_025565.rttm,68.64,9.28,6.37
WAR_1130_023040_023100.rttm,34.02,0.97,0.33
WAR_2535_032640_032700.rttm,100.00,0.00,0.00
WAR_3090_047040_047100.rttm,100.00,0.00,0.00
WAR_3528_006660_006720.rttm,100.00,0.00,0.00
WAR_4995_026700_026760.rttm,100.00,0.00,0.00
WAR_5613_044460_044520.rttm,72.18,15.96,11.52
WAR_5959_022920_022980.rttm,5.29,1.70,0.09
WAR_9398_005100_005160.rttm,100.00,0.00,0.00
WAR_9427_056820_056880.rttm,29.50,6.00,1.77
WAR_9755_035340_035400.rttm,91.50,8.71,7.97
TOTAL,64.07,191.10,122.44
