item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_0396_011220_011280.rttm,0.00,0.00,0.00,,0.00,
BER_1196_034740_034800.rttm,0.00,0.00,0.00,,0.00,
BER_1618_031680_031740.rttm,116.64,5.29,3.92,74.10,2.25,42.53
BER_1844_030000_030060.rttm,100.00,0.53,0.00,0.00,0.53,100.00
BER_2927_026160_026220.rttm,52.93,10.41,0.83,7.97,4.68,44.96
BER_3749_004620_004680.rttm,72.23,4.97,0.46,9.26,3.13,62.98
BER_3895_043560_043620.rttm,57.95,11.01,5.62,51.04,0.76,6.90
BER_5750_030480_030540.rttm,75.34,5.15,0.00,0.00,3.88,75.34
BER_6035_030360_030420.rttm,45900.00,0.02,9.16,45800.00,0.02,100.00
BER_7758_034320_034380.rttm,0.00,0.00,0.00,,0.00,
ROS_0790_014460_014520.rttm,54.30,7.09,3.47,48.94,0.38,5.36
ROS_1299_004320_004380.rttm,1920.55,1.46,28.02,1919.18,0.02,1.37
ROS_2534_004380_004440.rttm,142.25,2.58,2.03,78.68,1.64,63.57
ROS_3510_004740_004800.rttm,135.53,0.76,1.03,135.53,0.00,0.00
ROS_6026_002100_002160.rttm,154.67,4.39,5.96,135.76,0.83,18.91
ROS_7903_002820_002880.rttm,45.83,10.30,1.07,10.39,3.65,35.44
ROS_8788_009120_009180.rttm,114.62,10.19,11.12,109.13,0.56,5.50
ROS_9051_014760_014820.rttm,0.00,0.00,0.00,,0.00,
ROS_9426_010860_010920.rttm,1544.68,0.47,7.26,1544.68,0.00,0.00
ROS_9909_010680_010740.rttm,377.30,9.12,33.94,372.15,0.47,5.15
ROW_1156_034560_034620.rttm,83.33,2.28,0.40,17.54,1.50,65.79
ROW_1735_015060_015120.rttm,21.10,5.26,0.77,14.64,0.34,6.46
ROW_1768_016980_017040.rttm,84.97,4.79,0.44,9.19,3.63,75.78
ROW_2745_020220_020280.rttm,100.00,0.00,0.18,,0.00,
ROW_3486_033120_033180.rttm,45.60,5.68,1.17,20.60,1.42,25.00
ROW_7798_019560_019620.rttm,183.58,2.74,3.81,139.05,1.22,44.53
ROW_8357_030300_030360.rttm,100.00,0.02,0.00,0.00,0.02,100.00
ROW_9408_033360_033420.rttm,157.41,0.54,0.82,151.85,0.03,5.56
ROW_9492_028020_028080.rttm,83.33,1.80,1.28,71.11,0.22,12.22
ROW_9801_000000_000001.rttm,0.00,0.00,0.00,,0.00,
ROW_9801_036900_036960.rttm,100.00,0.00,22.54,,0.00,
SOD_1499_024300_024360.rttm,98.85,9.57,0.71,7.42,8.75,91.43
SOD_3542_006420_006480.rttm,77.46,16.77,1.80,10.73,11.19,66.73
SOD_3634_036120_036180.rttm,0.00,0.00,0.00,,0.00,
SOD_4483_006600_006660.rttm,256.06,0.66,1.47,222.73,0.22,33.33
SOD_4736_013800_013860.rttm,100.00,0.00,0.01,,0.00,
SOD_8445_017640_017700.rttm,65.14,4.16,1.66,39.90,1.05,25.24
SOD_8924_017340_017400.rttm,296.15,0.26,0.65,250.00,0.12,46.15
SOD_9527_020520_020580.rttm,541.52,2.24,11.89,530.80,0.24,10.71
SOD_9854_019440_019500.rttm,100.00,0.00,0.10,,0.00,
SOD_9858_002640_002700.rttm,0.00,0.00,0.00,,0.00,
TSE_0643_020364_020424.rttm,100.00,0.00,2.94,,0.00,
TSE_2109_029116_029176.rttm,0.00,0.00,0.00,,0.00,
TSE_2625_027365_027425.rttm,268.42,0.95,1.78,187.37,0.77,81.05
TSE_3026_005809_005869.rttm,0.00,0.00,0.00,,0.00,
TSE_6216_013922_013982.rttm,100.00,0.41,0.00,0.00,0.41,100.00
TSE_7176_001701_001761.rttm,97.85,20.47,2.33,11.38,17.70,86.47
TSE_7220_030589_030649.rttm,98.07,7.27,3.65,50.21,3.48,47.87
TSE_7326_006918_006978.rttm,0.00,0.00,0.00,,0.00,
TSE_8179_001514_001574.rttm,102.63,4.57,1.18,25.82,3.51,76.81
TSE_8787_025505_025565.rttm,76.74,10.06,1.69,16.80,6.03,59.94
WAR_1130_023040_023100.rttm,100.00,0.00,9.54,,0.00,
WAR_2535_032640_032700.rttm,87.98,9.32,5.94,63.73,2.26,24.25
WAR_3090_047040_047100.rttm,4566.67,0.09,4.11,4566.67,0.00,0.00
WAR_3528_006660_006720.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_026700_026760.rttm,0.00,0.00,0.00,,0.00,
WAR_5613_044460_044520.rttm,81.71,9.13,0.79,8.65,6.67,73.06
WAR_5959_022920_022980.rttm,100.00,13.64,0.00,0.00,13.64,100.00
WAR_9398_005100_005160.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_056820_056880.rttm,117.49,2.63,0.96,36.50,2.13,80.99
WAR_9755_035340_035400.rttm,486.36,0.44,1.70,386.36,0.44,100.00
TOTAL,141.23,219.49,200.20,91.21,109.79,50.02
