item,detection precision %,retrieved,relevant retrieved
BER_0396_011220_011280.rttm,88.21,11.20,9.88
BER_1196_034740_034800.rttm,87.06,12.75,11.10
BER_1618_031680_031740.rttm,24.44,0.45,0.11
BER_1844_030000_030060.rttm,70.18,2.75,1.93
BER_2927_026160_026220.rttm,100.00,0.61,0.61
BER_3749_004620_004680.rttm,100.00,0.00,0.00
BER_3895_043560_043620.rttm,69.89,4.45,3.11
BER_5750_030480_030540.rttm,46.98,8.94,4.20
BER_6035_030360_030420.rttm,100.00,0.00,0.00
BER_7758_034320_034380.rttm,100.00,0.00,0.00
ROS_0790_014460_014520.rttm,0.00,0.87,0.00
ROS_1299_004320_004380.rttm,100.00,0.41,0.41
ROS_2534_004380_004440.rttm,89.58,11.80,10.57
ROS_3510_004740_004800.rttm,100.00,0.00,0.00
ROS_6026_002100_002160.rttm,100.00,0.00,0.00
ROS_7903_002820_002880.rttm,100.00,0.00,0.00
ROS_8788_009120_009180.rttm,88.05,6.11,5.38
ROS_9051_014760_014820.rttm,94.85,0.97,0.92
ROS_9426_010860_010920.rttm,88.58,7.27,6.44
ROS_9909_010680_010740.rttm,61.70,1.41,0.87
ROW_1156_034560_034620.rttm,100.00,0.00,0.00
ROW_1735_015060_015120.rttm,81.68,5.24,4.28
ROW_1768_016980_017040.rttm,95.54,5.16,4.93
ROW_2745_020220_020280.rttm,22.79,1.36,0.31
ROW_3486_033120_033180.rttm,100.00,0.00,0.00
ROW_7798_019560_019620.rttm,60.86,6.77,4.12
ROW_8357_030300_030360.rttm,57.82,1.47,0.85
ROW_9408_033360_033420.rttm,57.64,15.96,9.20
ROW_9492_028020_028080.rttm,20.90,6.65,1.39
ROW_9801_000000_000001.rttm,100.00,0.00,0.00
ROW_9801_036900_036960.rttm,91.24,1.94,1.77
SOD_1499_024300_024360.rttm,14.94,2.41,0.36
SOD_3542_006420_006480.rttm,50.00,0.72,0.36
SOD_3634_036120_036180.rttm,92.07,2.27,2.09
SOD_4483_006600_006660.rttm,100.00,0.00,0.00
SOD_4736_013800_013860.rttm,94.10,20.85,19.62
SOD_8445_017640_017700.rttm,76.65,7.28,5.58
SOD_8924_017340_017400.rttm,100.00,0.00,0.00
SOD_9527_020520_020580.rttm,67.92,5.83,3.96
SOD_9854_019440_019500.rttm,100.00,0.00,0.00
SOD_9858_002640_002700.rttm,0.00,0.64,0.00
TSE_0643_020364_020424.rttm,0.00,0.18,0.00
TSE_2109_029116_029176.rttm,66.67,3.03,2.02
TSE_2625_027365_027425.rttm,0.00,0.62,0.00
TSE_3026_005809_005869.rttm,86.66,15.97,13.84
TSE_6216_013922_013982.rttm,100.00,0.00,0.00
TSE_7176_001701_001761.rttm,40.84,6.17,2.52
TSE_7220_030589_030649.rttm,0.00,1.86,0.00
TSE_7326_006918_006978.rttm,70.10,1.94,1.36
TSE_8179_001514_001574.rttm,100.00,0.00,0.00
TSE_8787_025505_025565.rttm,48.09,7.86,3.78
WAR_1130_023040_023100.rttm,100.00,0.21,0.21
WAR_2535_032640_032700.rttm,100.00,0.00,0.00
WAR_3090_047040_047100.rttm,100.00,0.00,0.00
WAR_3528_006660_006720.rttm,98.18,36.79,36.12
WAR_4995_026700_026760.rttm,96.80,45.30,43.85
WAR_5613_044460_044520.rttm,100.00,0.00,0.00
WAR_5959_022920_022980.rttm,100.00,0.00,0.00
WAR_9398_005100_005160.rttm,93.43,15.22,14.22
WAR_9427_056820_056880.rttm,91.70,6.63,6.08
WAR_9755_035340_035400.rttm,100.00,0.00,0.00
TOTAL,80.44,296.32,238.35
