"child_id" "gold1_CH_cum_dur" "gold1_CH_count" "gold1_CV_cum_dur" "gold1_CV_count" "gold1_short_CV_count" "gold1_CNV_cum_dur" "gold1_CNV_count" "gold1_short_CNV_count" "gold1_CTC_count" "gold2_CH_cum_dur" "gold2_CH_count" "gold2_CV_cum_dur" "gold2_CV_count" "gold2_short_CV_count" "gold2_CNV_cum_dur" "gold2_CNV_count" "gold2_short_CNV_count" "gold2_CTC_count" "gold1_CH_mean" "gold1_CV_mean" "gold1_CNV_mean" "gold2_CH_mean" "gold2_CV_mean" "gold2_CNV_mean"
"BER_0396" 9.03 10 9.03 10 5 0 0 0 0 11.2 13 11.2 13 8 0 0 0 1 0.903 0.903 0 0.861538461538462 0.861538461538462 0
"BER_1196" 11.12 14 11.12 14 4 0 0 0 0 12.75 13 12.75 13 1 0 0 0 1 0.794285714285714 0.794285714285714 0 0.980769230769231 0.980769230769231 0
"BER_1618" 1.92 2 1.92 2 0 0 0 0 4 2.63 5 1.14 2 1 1.49 3 2 3 0.96 0.96 0 0.526 0.57 0.496666666666667
"BER_1844" 2.31 2 2.31 2 0 0 0 0 3 2.75 3 2.75 3 1 0 0 0 5 1.155 1.155 0 0.916666666666667 0.916666666666667 0
"BER_2927" 1 2 0.61 1 0 0.39 1 1 2 0.61 2 0.25 1 1 0.36 1 1 2 0.5 0.61 0.39 0.305 0.25 0.36
"BER_3749" 0.13 1 0.13 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0.13 0.13 0 0 0 0
"BER_3895" 15.02 17 15.02 17 8 0 0 0 17 17.92 18 17.92 18 7 0 0 0 19 0.883529411764706 0.883529411764706 0 0.995555555555556 0.995555555555556 0
"BER_5750" 14.21 12 11.29 10 2 2.92 2 1 4 10.21 20 9.85 19 13 0.36 1 1 13 1.18416666666667 1.129 1.46 0.5105 0.518421052631579 0.36
"BER_6035" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BER_7758" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROS_0790" 2.06 7 1.48 4 3 0.58 3 3 0 3.46 5 3.46 5 4 0 0 0 1 0.294285714285714 0.37 0.193333333333333 0.692 0.692 0
